,Date,Symbol,Open,High,Low,Close,Volume ETC,Volume USD,type,color
0,2020-01-11 11-AM,ETCUSD,5.522,5.522,5.522,5.522,0.0,0.0,,0
1,2020-01-11 10-AM,ETCUSD,5.522,5.522,5.522,5.522,0.0,0.0,Stag,1
2,2020-01-11 09-AM,ETCUSD,5.522,5.522,5.522,5.522,0.0,0.0,Stag,1
3,2020-01-11 08-AM,ETCUSD,5.522,5.522,5.522,5.522,0.0,0.0,Stag,1
4,2020-01-11 07-AM,ETCUSD,5.522,5.522,5.522,5.522,0.0,0.0,Stag,1
5,2020-01-11 06-AM,ETCUSD,5.522,5.522,5.522,5.522,0.0,0.0,Stag,1
6,2020-01-11 05-AM,ETCUSD,5.522,5.522,5.522,5.522,0.0,0.0,Stag,1
7,2020-01-11 04-AM,ETCUSD,5.522,5.522,5.522,5.522,0.0,0.0,Stag,1
8,2020-01-11 03-AM,ETCUSD,5.522,5.522,5.522,5.522,0.0,0.0,Stag,1
9,2020-01-11 02-AM,ETCUSD,5.522,5.522,5.522,5.522,0.0,0.0,Stag,1
10,2020-01-11 01-AM,ETCUSD,5.522,5.522,5.522,5.522,0.0,0.0,Stag,1
11,2020-01-11 12-AM,ETCUSD,5.343999999999999,5.614,5.343999999999999,5.522,389.98,2141.86,Stag,1
12,2020-01-10 11-PM,ETCUSD,5.171,5.39,5.171,5.343999999999999,314.35,1672.5,Fall,0
13,2020-01-10 10-PM,ETCUSD,5.195,5.224,5.171,5.171,346.65,1801.15,Fall,0
14,2020-01-10 09-PM,ETCUSD,5.195,5.195,5.195,5.195,0.0,0.0,Rise,2
15,2020-01-10 08-PM,ETCUSD,5.231,5.231,5.195,5.195,14.0,72.73,Stag,1
16,2020-01-10 07-PM,ETCUSD,5.159,5.231,5.159,5.231,268.13,1399.59,Rise,2
17,2020-01-10 06-PM,ETCUSD,5.159,5.195,5.159,5.159,121.78,632.27,Fall,0
18,2020-01-10 05-PM,ETCUSD,5.159,5.159,5.122999999999999,5.159,102.58,526.99,Stag,1
19,2020-01-10 04-PM,ETCUSD,5.204,5.2860000000000005,5.159,5.159,588.52,3060.47,Stag,1
20,2020-01-10 03-PM,ETCUSD,5.195,5.2860000000000005,5.1610000000000005,5.204,498.19,2590.77,Rise,2
21,2020-01-10 02-PM,ETCUSD,5.122999999999999,5.195,5.122999999999999,5.195,107.47,550.8,Fall,0
22,2020-01-10 01-PM,ETCUSD,5.164,5.231,5.122999999999999,5.122999999999999,447.4,2324.28,Fall,0
23,2020-01-10 12-PM,ETCUSD,5.061,5.2,5.061,5.164,352.3,1797.81,Rise,2
24,2020-01-10 11-AM,ETCUSD,5.013999999999999,5.122999999999999,4.993,5.061,790.79,3991.8,Fall,0
25,2020-01-10 10-AM,ETCUSD,4.982,5.013999999999999,4.942,5.013999999999999,404.17,2004.24,Fall,0
26,2020-01-10 09-AM,ETCUSD,4.942,5.0169999999999995,4.942,4.982,214.99,1073.75,Fall,0
27,2020-01-10 08-AM,ETCUSD,5.01,5.01,4.942,4.942,36.26,180.24,Fall,0
28,2020-01-10 07-AM,ETCUSD,4.986000000000001,5.01,4.986000000000001,5.01,120.8,605.19,Rise,2
29,2020-01-10 06-AM,ETCUSD,5.013999999999999,5.013999999999999,4.982,4.986000000000001,33.46,166.81,Fall,0
30,2020-01-10 05-AM,ETCUSD,5.05,5.05,5.013999999999999,5.013999999999999,205.39,1030.43,Rise,2
31,2020-01-10 04-AM,ETCUSD,5.095,5.095,5.05,5.05,98.76,498.75,Rise,2
32,2020-01-10 03-AM,ETCUSD,5.098,5.098,5.095,5.095,121.36,618.38,Rise,2
33,2020-01-10 02-AM,ETCUSD,5.098,5.098,5.098,5.098,0.0,0.0,Rise,2
34,2020-01-10 01-AM,ETCUSD,5.195,5.195,5.078,5.098,356.05,1815.06,Stag,1
35,2020-01-10 12-AM,ETCUSD,5.178,5.195,5.178,5.195,5.829,30.25,Rise,2
36,2020-01-09 11-PM,ETCUSD,5.0889999999999995,5.178,5.0889999999999995,5.178,62.24,321.51,Fall,0
37,2020-01-09 10-PM,ETCUSD,5.013999999999999,5.11,5.013999999999999,5.0889999999999995,188.15,952.19,Fall,0
38,2020-01-09 09-PM,ETCUSD,5.05,5.05,5.013999999999999,5.013999999999999,102.16,512.26,Fall,0
39,2020-01-09 08-PM,ETCUSD,5.083,5.165,5.05,5.05,1911.45,9815.62,Rise,2
40,2020-01-09 07-PM,ETCUSD,5.032,5.1,5.032,5.083,2642.37,13430.2,Rise,2
41,2020-01-09 06-PM,ETCUSD,4.897,5.032,4.897,5.032,170.01,844.02,Fall,0
42,2020-01-09 05-PM,ETCUSD,4.9510000000000005,4.9510000000000005,4.897,4.897,57.1,279.91,Fall,0
43,2020-01-09 04-PM,ETCUSD,5.0,5.0,4.9510000000000005,4.9510000000000005,144.38,714.76,Rise,2
44,2020-01-09 03-PM,ETCUSD,4.9510000000000005,5.012,4.9510000000000005,5.0,670.0,3339.34,Rise,2
45,2020-01-09 02-PM,ETCUSD,5.001,5.001,4.9510000000000005,4.9510000000000005,70.76,350.33,Fall,0
46,2020-01-09 01-PM,ETCUSD,5.001,5.001,5.001,5.001,0.0,0.0,Rise,2
47,2020-01-09 12-PM,ETCUSD,4.956,5.001,4.956,5.001,10.01,50.04,Stag,1
48,2020-01-09 11-AM,ETCUSD,5.007,5.007,4.956,4.956,71.16,352.86,Fall,0
49,2020-01-09 10-AM,ETCUSD,5.007,5.007,5.007,5.007,101.77,509.55,Rise,2
50,2020-01-09 09-AM,ETCUSD,5.05,5.05,4.958,5.007,652.2,3250.26,Stag,1
51,2020-01-09 08-AM,ETCUSD,5.096,5.096,5.05,5.05,76.37,386.0,Rise,2
52,2020-01-09 07-AM,ETCUSD,5.06,5.096,5.055,5.096,107.44,545.09,Rise,2
53,2020-01-09 06-AM,ETCUSD,5.086,5.086,5.05,5.06,426.79,2158.35,Fall,0
54,2020-01-09 05-AM,ETCUSD,5.086,5.086,5.05,5.086,51.39,260.9,Rise,2
55,2020-01-09 04-AM,ETCUSD,5.022,5.086,5.022,5.086,2.694,13.7,Stag,1
56,2020-01-09 03-AM,ETCUSD,5.086,5.086,5.022,5.022,107.0,538.88,Fall,0
57,2020-01-09 02-AM,ETCUSD,5.05,5.122999999999999,5.05,5.086,53.08,271.52,Rise,2
58,2020-01-09 01-AM,ETCUSD,5.065,5.122999999999999,5.013999999999999,5.05,467.53,2374.09,Fall,0
59,2020-01-09 12-AM,ETCUSD,5.05,5.065,5.05,5.065,26.82,135.57,Rise,2
60,2020-01-08 11-PM,ETCUSD,4.978,4.978,4.942,4.942,82.66,409.6,Fall,0
61,2020-01-08 10-PM,ETCUSD,4.928,4.978,4.928,4.978,203.75,1005.35,Rise,2
62,2020-01-08 09-PM,ETCUSD,4.913,4.928,4.912,4.928,6.5920000000000005,32.45,Fall,0
63,2020-01-08 08-PM,ETCUSD,4.87,4.942,4.87,4.913,71.58,352.83,Fall,0
64,2020-01-08 07-PM,ETCUSD,4.882,4.882,4.87,4.87,2.694,13.12,Fall,0
65,2020-01-08 06-PM,ETCUSD,4.906000000000001,4.931,4.882,4.882,30.47,150.07,Rise,2
66,2020-01-08 05-PM,ETCUSD,4.798,4.906000000000001,4.79,4.906000000000001,175.71,850.5,Rise,2
67,2020-01-08 04-PM,ETCUSD,4.845,4.868,4.725,4.798,178.89,856.63,Fall,0
68,2020-01-08 03-PM,ETCUSD,4.86,4.86,4.825,4.845,236.79,1147.09,Rise,2
69,2020-01-08 02-PM,ETCUSD,4.9,4.9,4.848,4.86,242.01,1176.61,Rise,2
70,2020-01-08 01-PM,ETCUSD,4.87,4.916,4.837,4.9,277.46,1354.54,Rise,2
71,2020-01-08 12-PM,ETCUSD,4.905,4.905,4.87,4.87,27.69,134.88,Fall,0
72,2020-01-08 11-AM,ETCUSD,4.942,4.942,4.905,4.905,94.19,462.07,Rise,2
73,2020-01-08 10-AM,ETCUSD,4.905,4.942,4.905,4.942,19.48,95.62,Rise,2
74,2020-01-08 09-AM,ETCUSD,4.907,4.907,4.905,4.905,12.23,59.98,Fall,0
75,2020-01-08 08-AM,ETCUSD,4.907,4.907,4.907,4.907,0.0,0.0,Rise,2
76,2020-01-08 07-AM,ETCUSD,4.978,4.978,4.906000000000001,4.907,57.57,283.23,Stag,1
77,2020-01-08 06-AM,ETCUSD,4.942,5.047,4.942,4.978,169.28,845.31,Rise,2
78,2020-01-08 05-AM,ETCUSD,4.897,4.942,4.897,4.942,13.39,65.98,Fall,0
79,2020-01-08 04-AM,ETCUSD,4.87,4.897,4.864,4.897,143.13,696.85,Fall,0
80,2020-01-08 03-AM,ETCUSD,4.834,4.87,4.797,4.87,10.24,49.56,Fall,0
81,2020-01-08 02-AM,ETCUSD,4.87,4.87,4.834,4.834,200.44,974.24,Fall,0
82,2020-01-08 01-AM,ETCUSD,4.949,4.968999999999999,4.87,4.87,80.4,396.85,Rise,2
83,2020-01-08 12-AM,ETCUSD,4.859,4.949,4.859,4.949,52.33,258.34,Rise,2
84,2020-01-07 11-PM,ETCUSD,4.797,4.842,4.788,4.842,197.14,951.65,Fall,0
85,2020-01-07 10-PM,ETCUSD,4.83,4.834,4.797,4.797,55.22,266.18,Fall,0
86,2020-01-07 09-PM,ETCUSD,4.912,4.942,4.83,4.83,469.92,2291.32,Rise,2
87,2020-01-07 08-PM,ETCUSD,4.87,4.912,4.87,4.912,188.13,918.84,Rise,2
88,2020-01-07 07-PM,ETCUSD,4.845,4.906000000000001,4.834,4.87,1441.94,7009.04,Fall,0
89,2020-01-07 06-PM,ETCUSD,4.869,4.87,4.845,4.845,12.69,61.57,Fall,0
90,2020-01-07 05-PM,ETCUSD,4.797,4.869,4.797,4.869,72.21,350.67,Rise,2
91,2020-01-07 04-PM,ETCUSD,4.725,4.797,4.725,4.797,212.02,1008.73,Fall,0
92,2020-01-07 03-PM,ETCUSD,4.78,4.784,4.725,4.725,377.41,1801.82,Fall,0
93,2020-01-07 02-PM,ETCUSD,4.787,4.787,4.78,4.78,6.551,31.31,Rise,2
94,2020-01-07 01-PM,ETCUSD,4.831,4.831,4.727,4.787,614.44,2923.55,Rise,2
