,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD,type,color
0,2020-01-11 11-AM,ETHUSD,142.78,142.9,142.24,142.86,115.65,16491.24,,0
1,2020-01-11 10-AM,ETHUSD,143.83,143.83,142.71,142.78,121.79,17449.91,Fall,0
2,2020-01-11 09-AM,ETHUSD,143.02,143.83,143.02,143.83,115.61,16604.02,Rise,2
3,2020-01-11 08-AM,ETHUSD,142.98,143.29,142.53,143.02,126.56,18101.95,Fall,0
4,2020-01-11 07-AM,ETHUSD,142.77,143.74,142.77,142.98,155.07,22208.51,Fall,0
5,2020-01-11 06-AM,ETHUSD,142.97,143.5,142.19,142.77,209.19,29850.26,Fall,0
6,2020-01-11 05-AM,ETHUSD,143.27,143.27,142.24,142.97,56.12,8004.05,Rise,2
7,2020-01-11 04-AM,ETHUSD,143.57,144.05,142.9,143.27,88.74,12728.25,Rise,2
8,2020-01-11 03-AM,ETHUSD,143.83,143.84,142.8,143.57,72.85,10441.29,Rise,2
9,2020-01-11 02-AM,ETHUSD,144.19,144.49,143.57,143.83,71.82,10336.95,Rise,2
10,2020-01-11 01-AM,ETHUSD,143.53,145.47,143.53,144.19,131.47,19027.05,Rise,2
11,2020-01-11 12-AM,ETHUSD,143.22,143.77,143.22,143.53,140.33,20140.36,Fall,0
12,2020-01-10 11-PM,ETHUSD,142.8,145.06,142.66,145.03,296.07,42518.03,Rise,2
13,2020-01-10 10-PM,ETHUSD,142.89,142.97,141.89,142.8,79.7,11364.34,Fall,0
14,2020-01-10 09-PM,ETHUSD,143.2,143.83,142.76,142.89,399.14,57204.44,Rise,2
15,2020-01-10 08-PM,ETHUSD,143.42,144.03,143.2,143.2,268.16,38502.18,Rise,2
16,2020-01-10 07-PM,ETHUSD,142.69,144.52,142.69,143.42,85.44,12248.57,Rise,2
17,2020-01-10 06-PM,ETHUSD,141.94,145.0,141.94,142.69,98.77,14188.76,Fall,0
18,2020-01-10 05-PM,ETHUSD,141.14,141.94,140.82,141.94,191.36,27033.48,Fall,0
19,2020-01-10 04-PM,ETHUSD,141.9,143.47,140.86,141.14,271.22,38484.19,Fall,0
20,2020-01-10 03-PM,ETHUSD,139.99,143.33,139.83,141.9,280.7,39792.35,Rise,2
21,2020-01-10 02-PM,ETHUSD,138.86,139.99,138.84,139.99,189.63,26438.21,Fall,0
22,2020-01-10 01-PM,ETHUSD,139.31,139.77,138.86,138.86,160.9,22431.37,Fall,0
23,2020-01-10 12-PM,ETHUSD,138.27,139.5,138.14,139.31,108.6,15063.53,Rise,2
24,2020-01-10 11-AM,ETHUSD,136.33,138.76,136.33,138.27,198.54,27384.29,Fall,0
25,2020-01-10 10-AM,ETHUSD,135.94,136.48,135.47,136.33,192.8,26214.43,Fall,0
26,2020-01-10 09-AM,ETHUSD,135.91,136.24,135.69,135.94,30.49,4148.32,Fall,0
27,2020-01-10 08-AM,ETHUSD,136.04,136.39,135.51,135.91,77.58,10536.1,Fall,0
28,2020-01-10 07-AM,ETHUSD,136.36,136.45,136.0,136.04,60.12,8189.48,Rise,2
29,2020-01-10 06-AM,ETHUSD,135.52,136.39,135.52,136.36,63.59,8647.74,Rise,2
30,2020-01-10 05-AM,ETHUSD,136.21,136.23,135.48,135.52,105.33,14307.51,Fall,0
31,2020-01-10 04-AM,ETHUSD,136.63,136.76,135.99,136.21,50.05,6817.33,Rise,2
32,2020-01-10 03-AM,ETHUSD,136.54,136.77,136.26,136.63,61.31,8366.8,Rise,2
33,2020-01-10 02-AM,ETHUSD,136.85,137.08,136.33,136.54,85.42,11681.25,Fall,0
34,2020-01-10 01-AM,ETHUSD,137.12,137.37,136.72,136.85,65.94,9025.02,Rise,2
35,2020-01-10 12-AM,ETHUSD,137.17,137.17,137.07,137.12,26.06,3573.68,Rise,2
36,2020-01-09 11-PM,ETHUSD,137.62,138.14,136.37,137.69,205.64,28215.76,Rise,2
37,2020-01-09 10-PM,ETHUSD,136.9,137.87,136.84,137.62,74.2,10174.75,Fall,0
38,2020-01-09 09-PM,ETHUSD,137.96,137.99,136.76,136.9,243.93,33468.22,Fall,0
39,2020-01-09 08-PM,ETHUSD,137.34,139.56,137.33,137.96,129.24,17876.6,Rise,2
40,2020-01-09 07-PM,ETHUSD,135.93,137.47,135.86,137.34,79.12,10821.07,Fall,0
41,2020-01-09 06-PM,ETHUSD,135.87,136.05,135.68,135.93,266.09,36115.22,Fall,0
42,2020-01-09 05-PM,ETHUSD,136.01,136.26,135.56,135.87,134.11,18231.91,Fall,0
43,2020-01-09 04-PM,ETHUSD,138.24,138.39,135.59,136.01,239.79,32776.06,Rise,2
44,2020-01-09 03-PM,ETHUSD,137.71,138.42,137.71,138.24,75.39,10421.13,Rise,2
45,2020-01-09 02-PM,ETHUSD,138.26,138.47,137.71,137.71,66.72,9215.98,Fall,0
46,2020-01-09 01-PM,ETHUSD,138.41,138.83,138.22,138.26,126.0,17458.75,Rise,2
47,2020-01-09 12-PM,ETHUSD,138.19,138.49,138.0,138.41,88.3,12213.77,Rise,2
48,2020-01-09 11-AM,ETHUSD,138.76,138.76,137.76,138.19,115.41,15951.46,Fall,0
49,2020-01-09 10-AM,ETHUSD,138.43,138.93,137.98,138.76,139.85,19366.78,Rise,2
50,2020-01-09 09-AM,ETHUSD,139.42,139.42,137.8,138.43,145.98,20206.02,Fall,0
51,2020-01-09 08-AM,ETHUSD,139.87,139.97,139.16,139.42,44.58,6223.98,Rise,2
52,2020-01-09 07-AM,ETHUSD,139.6,140.1,139.6,139.87,40.1,5615.06,Rise,2
53,2020-01-09 06-AM,ETHUSD,139.38,139.8,138.88,139.6,65.6,9147.55,Fall,0
54,2020-01-09 05-AM,ETHUSD,140.0,140.0,138.89,139.38,49.56,6908.36,Fall,0
55,2020-01-09 04-AM,ETHUSD,139.91,140.18,139.63,140.0,41.49,5805.3,Rise,2
56,2020-01-09 03-AM,ETHUSD,140.35,140.35,139.26,139.91,144.73,20253.01,Fall,0
57,2020-01-09 02-AM,ETHUSD,140.79,141.0,140.21,140.35,125.29,17622.25,Rise,2
58,2020-01-09 01-AM,ETHUSD,139.93,141.29,139.73,140.79,177.06,24865.57,Rise,2
59,2020-01-09 12-AM,ETHUSD,139.94,140.29,139.93,139.93,13.03,1826.94,Fall,0
60,2020-01-08 11-PM,ETHUSD,140.27,141.26,139.96,140.55,131.73,18552.76,Rise,2
61,2020-01-08 10-PM,ETHUSD,138.97,140.27,138.48,140.27,65.48,9107.37,Fall,0
62,2020-01-08 09-PM,ETHUSD,139.6,139.65,138.73,138.97,107.86,14993.35,Fall,0
63,2020-01-08 08-PM,ETHUSD,138.03,139.72,136.85,139.6,141.01,19486.41,Rise,2
64,2020-01-08 07-PM,ETHUSD,139.38,139.38,138.02,138.03,144.3,19988.51,Fall,0
65,2020-01-08 06-PM,ETHUSD,139.0,139.68,138.25,139.38,410.19,56928.69,Rise,2
66,2020-01-08 05-PM,ETHUSD,138.76,139.36,137.52,139.0,279.01,38668.49,Fall,0
67,2020-01-08 04-PM,ETHUSD,141.67,141.67,137.5,138.76,821.76,114758.17,Fall,0
68,2020-01-08 03-PM,ETHUSD,141.76,142.06,140.0,141.67,144.94,20421.26,Rise,2
69,2020-01-08 02-PM,ETHUSD,142.96,142.96,140.85,141.76,81.64,11602.4,Rise,2
70,2020-01-08 01-PM,ETHUSD,142.23,143.33,140.35,142.96,67.06,9477.97,Rise,2
71,2020-01-08 12-PM,ETHUSD,143.62,143.7,142.23,142.23,108.82,15576.14,Fall,0
72,2020-01-08 11-AM,ETHUSD,144.22,144.47,143.62,143.62,145.85,21025.03,Rise,2
73,2020-01-08 10-AM,ETHUSD,143.35,144.51,143.35,144.22,116.91,16813.9,Rise,2
74,2020-01-08 09-AM,ETHUSD,143.92,143.96,143.0,143.35,210.44,30166.86,Fall,0
75,2020-01-08 08-AM,ETHUSD,143.38,144.09,143.1,143.92,144.39,20748.12,Rise,2
76,2020-01-08 07-AM,ETHUSD,145.14,145.28,142.45,143.38,139.29,20161.7,Fall,0
77,2020-01-08 06-AM,ETHUSD,144.94,145.22,144.78,145.14,168.19,24388.67,Rise,2
